"date","unit_session_id","Age","BHI_A_1_r","BHI_A_2_r","BHI_A_3","BHI_A_4","BHI_C_1","BHI_C_2_r","BHI_C_3","BHI_C_4_r","BHI_E_1","BHI_E_2_r","BHI_E_3_r","BHI_E_4","BHI_HH_1","BHI_HH_2_r","BHI_HH_3_r","BHI_HH_4_r","BHI_O_1","BHI_O_2_r","BHI_O_3","BHI_O_4","BHI_X_1_r","BHI_X_2","BHI_X_3","BHI_X_4_r","Corona","Curfew_1","Curfew_1_1","Curfew_1_2","Curfew_2","Curfew_2_1","Curfew_2_2","Curfew_2_3","Gender","Household_Size","Left_Right_Politics","Nationality","Residence","Risk_Duration","Risk_Freq","Risk_Quarantine","survey","ToP_Amount","ToP_Freqency","ToP_Inhouse","ToP_Ratio","Residence_County","version","BHI_HH_2","BHI_HH_3","BHI_HH_4","HH","BHI_E_2","BHI_E_3","E","BHI_X_1","BHI_X_4","X","BHI_A_1","BHI_A_2","A","BHI_C_2","BHI_C_4","C","BHI_O_2","O","Personal_Mobility_Restriction","Public_Transport_Restriction","Quarantine_Duration","continent","Germany","USA","German","American","Europe","Americas","Rest"
2020-03-24,5332890,24,4,5,3,4,2,3,2,3,5,1,3,4,1,5,2,2,4,1,5,5,2,4,4,4,3,1,2,1,1,1,1,1,2,1,1,"DE","DE",NA,0,2,2,1,1,4,2,NA,"english",1,4,4,2.5,5,3,4.25,4,2,3.5,2,1,2.5,3,3,2.5,5,4.75,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5332896,27,4,3,2,2,4,3,3,2,3,2,4,4,4,2,1,1,4,1,3,3,1,2,3,3,7,1,1,1,2,NA,NA,2,1,2,4,"IT","DE",8,0,1,2,2,3,4,2,NA,"english",4,5,5,4.5,4,2,3.25,5,3,3.25,2,3,2.25,3,4,3.5,5,3.75,1,0,8,"Europe",1,0,0,0,1,0,0
2020-03-24,5332908,38,3,4,2,3,4,3,4,1,3,3,3,4,4,1,1,1,4,1,3,2,2,3,4,2,7,1,1,1,1,1,1,1,1,2,3,"DE","DE",NA,1,2,2,2,2,3,2,NA,"english",5,5,5,4.75,3,3,3.25,4,4,3.75,3,2,2.5,3,5,4,5,3.5,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5333004,24,3,2,4,3,4,3,4,2,3,3,4,4,4,2,2,3,4,1,4,2,1,3,4,4,4,1,1,2,1,1,1,1,1,2,3,"DE","DE",NA,0,2,2,1,1,3,2,NA,"english",4,4,3,3.75,3,2,3,5,2,3.5,3,4,3.5,3,4,3.75,5,3.75,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5333008,35,4,5,2,4,2,2,2,3,2,4,4,1,2,4,3,4,4,3,5,4,1,3,4,2,2,2,NA,NA,1,1,1,2,1,1,3,"IT","NL",8,0,1,2,1,1,6,1,NA,"english",2,3,2,2.25,2,2,1.75,5,4,4,2,1,2.25,4,3,2.75,3,4,0,0,8,"Europe",0,0,0,0,1,0,0
2020-03-24,5333037,29,4,4,2,2,4,4,4,3,2,2,4,2,2,2,3,1,3,1,4,4,2,1,4,4,2,1,1,1,1,1,1,2,3,2,4,"DE","NL",NA,0,2,2,1,1,5,3,NA,"english",4,3,5,3.5,4,2,2.5,4,2,2.75,2,2,2,2,3,3.25,5,4,1,0,0,"Europe",0,0,1,0,1,0,0
2020-03-24,5333039,38,3,2,4,2,5,3,4,1,4,2,3,4,4,1,1,1,4,1,2,2,1,2,4,3,7,1,1,1,1,1,1,2,1,4,5,"PT","US",10,0,1,2,1,1,4,2,NA,"english",5,5,5,4.75,4,3,3.75,5,3,3.5,3,4,3.25,3,5,4.25,5,3.25,1,0,10,"Americas",0,1,0,0,0,1,0
2020-03-24,5333086,35,3,2,3,3,4,1,4,2,3,4,4,1,2,1,2,2,4,1,4,3,1,5,5,1,3,2,NA,NA,1,1,1,1,1,1,5,"DE","DE",NA,0,2,2,1,1,2,2,NA,"english",5,4,4,3.75,2,2,2,5,5,5,3,4,3.25,5,4,4.25,5,4,0,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5333102,25,2,3,3,2,5,4,5,2,4,2,4,2,4,1,2,1,4,1,3,3,1,4,4,2,8,1,1,1,1,1,1,1,1,2,4,"DE","IT",14,0,1,2,2,2,3,2,NA,"english",5,4,5,4.5,4,2,3,5,4,4.25,4,3,3,2,4,4,5,3.75,1,1,14,"Europe",0,0,1,0,1,0,0
2020-03-24,5333148,29,2,3,3,3,5,2,5,2,4,2,4,2,5,1,2,2,2,2,4,4,1,4,5,2,7,1,1,1,1,1,1,1,1,2,5,"DE","DE",NA,0,2,2,3,2,5,3,NA,"english",5,4,4,4.5,4,2,3,5,4,4.5,4,3,3.25,4,4,4.5,4,3.5,1,1,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5333149,25,3,2,4,3,4,3,3,1,2,1,3,5,4,1,1,1,2,1,5,4,2,1,4,2,5,1,1,1,1,1,1,1,1,3,6,"RO","RO",NA,0,2,2,2,2,4,2,NA,"english",5,5,5,4.75,5,3,3.75,4,4,3.25,3,4,3.5,3,5,3.75,5,4,1,1,0,"Europe",0,0,0,0,1,0,0
2020-03-24,5333159,32,4,3,3,2,2,3,3,4,4,4,4,4,5,1,2,1,3,1,4,3,1,4,1,2,2,1,1,1,1,1,1,1,1,2,4,"DE","IT",NA,0,2,2,2,2,3,2,NA,"english",5,4,5,4.75,2,2,3,5,4,3.5,2,3,2.5,3,2,2.5,5,3.75,1,1,0,"Europe",0,0,1,0,1,0,0
2020-03-24,5333165,29,4,4,3,3,4,4,4,2,3,2,4,3,4,1,3,2,3,2,3,3,3,2,2,2,7,2,NA,NA,1,1,1,2,2,2,3,"BR","DE",NA,0,2,2,2,2,2,2,NA,"english",5,3,4,4,4,2,3,3,4,2.75,2,2,2.5,2,4,3.5,4,3.25,0,0,0,"Europe",1,0,0,0,1,0,0
2020-03-24,5333168,25,5,5,4,5,2,4,3,4,2,4,3,3,4,1,3,1,4,2,5,4,1,4,4,3,4,1,2,1,1,1,1,2,2,2,3,"DE","DE",NA,0,2,2,1,1,2,2,NA,"english",5,3,5,4.25,2,3,2.5,5,3,4,1,1,2.75,2,2,2.25,4,4.25,1,0,0,"Europe",1,0,1,0,1,0,0
2020-03-24,5333173,25,2,2,4,4,5,2,4,2,4,2,3,4,2,1,1,1,4,1,3,4,1,3,4,1,8,1,1,1,1,1,1,2,1,1,2,"US","US",NA,0,2,2,1,1,4,2,NA,"english",5,5,5,4.25,4,3,3.75,5,5,4.25,4,4,4,4,4,4.25,5,4,1,0,0,"Americas",0,1,0,1,0,1,0
2020-03-24,5333204,35,2,2,3,4,4,4,4,4,2,2,4,2,3,2,2,1,4,1,4,3,2,4,4,2,7,1,1,1,1,1,1,2,1,2,2,"US","US",NA,0,2,2,2,2,4,2,NA,"english",4,4,5,4,4,2,2.5,4,4,4,4,4,3.75,2,2,3,5,4,1,0,0,"Americas",0,1,0,1,0,1,0
2020-03-24,5333251,31,3,3,3,3,3,3,3,4,3,3,4,4,2,1,3,3,4,1,4,4,1,4,5,2,7,1,2,1,1,1,1,2,1,1,3,"ES","DE",NA,0,2,2,2,2,3,2,NA,"english",5,3,3,3.25,3,2,3,5,4,4.5,3,3,3,3,2,2.75,5,4.25,1,0,0,"Europe",1,0,0,0,1,0,0
2020-03-24,5333270,56,4,4,2,3,1,2,3,3,2,4,4,3,4,1,3,3,3,1,5,4,1,4,3,2,3,1,1,2,1,1,1,1,2,1,9,"US","US",5,1,1,2,2,2,3,2,NA,"english",5,3,3,3.75,2,2,2.25,5,4,4,2,2,2.25,4,3,2.75,5,4.25,1,1,5,"Americas",0,1,0,1,0,1,0
